 front strips:
 chan str
    1   1
    2   4
    3   7
    4  10
    5  13
    6  17
    7  20
    8  23
    9  26
   10  29
   11  33
   12  36
   13  39
   14  42
   15  45
   16  16
   17   2
   18   5
   19   8
   20  11
   21  14
   22  18
   23  21
   24  24
   25  27
   26  30
   27  34
   28  37
   29  40
   30  43
   31  46
   32  32
   33   3
   34   6
   35   9
   36  12
   37  15
   38  19
   39  22
   40  25
   41  28
   42  31
   43  35
   44  38
   45  41
   46  44
   47  47
   48  48

 back strips (word 8+9):
 chan str
    1  64
    2  62
    3  60
    4  58
    5  56
    6  54
    7  52
    8  50
    9  48
   10  46
   11  44
   12  42
   13  40
   14  38
   15  36
   16  34
   17  16
   18  14
   19  12
   20  10
   21   8
   22   6
   23   4
   24   2
   25  32
   26  30
   27  28
   28  26
   29  24
   30  22
   31  20
   32  18
   33 128
   34 126
   35 124
   36 122
   37 120
   38 118
   39 116
   40 114
   41 112
   42 110
   43 108
   44 106
   45 104
   46 102
   47 100
   48  98
   49  96
   50  94
   51  92
   52  90
   53  88
   54  86
   55  84
   56  82
   57  80
   58  78
   59  76
   60  74
   61  72
   62  70
   63  68
   64  66

 back strips (word 10+11):
 chan str
    1  63
    2  61
    3  59
    4  57
    5  55
    6  53
    7  51
    8  49
    9  47
   10  45
   11  43
   12  41
   13  39
   14  37
   15  35
   16  33
   17  15
   18  13
   19  11
   20   9
   21   7
   22   5
   23   3
   24   1
   25  31
   26  29
   27  27
   28  25
   29  23
   30  21
   31  19
   32  17
   33 127
   34 125
   35 123
   36 121
   37 119
   38 117
   39 115
   40 113
   41 111
   42 109
   43 107
   44 105
   45 103
   46 101
   47  99
   48  97
   49  95
   50  93
   51  91
   52  89
   53  87
   54  85
   55  83
   56  81
   57  79
   58  77
   59  75
   60  73
   61  71
   62  69
   63  67
   64  65
